  0.0000000000    0.0036000000
  0.0000500000    0.0006000000    299    19
  0.0000000238    0.1999222517    0.2547674894    0.2879143476    0.3120926619
  0.3313390970    0.3474622965    0.3614277601    0.3738146067    0.3849953890
  0.3952264547    0.4046905756    0.4135229826    0.4218263865    0.4296815157
  0.4371514082    0.4442879438    0.4511332273    0.4577221632    0.4640846014
  0.4702458620    0.4762276888    0.4820472479    0.4877225637    0.4932663679
  0.4986922979    0.5040110826    0.5092332125    0.5143671274    0.5194213152
  0.5244040251    0.5293207407    0.5341788530    0.5389838457    0.5437414408
  0.5484570742    0.5531344175    0.5577794313    0.5623960257    0.5669891596
  0.5715615511    0.5761185884    0.5806642771    0.5852021456    0.5897370577
  0.5942720652    0.5988129377    0.6033630610    0.6079273939    0.6125100851
  0.6171168566    0.6217548609    0.6264280081    0.6311444044    0.6359103441
  0.6407360792    0.6456296206    0.6506011724    0.6556668997    0.6608398676
  0.6661356211    0.6715789557    0.6771960974    0.6830223322    0.6890945196
  0.6954760790    0.7022434473    0.7095016241    0.7174190283    0.7262588739
  0.7364769220    0.7490382910    0.7666522741    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
