  0.0000000000    0.0150000000
  0.0002500000    0.0010000000    179    30
  0.0000000238    0.0815329790    0.1384483576    0.1786780119    0.2095588923
  0.2347469568    0.2561627626    0.2749152899    0.2916960478    0.3069649458
  0.3210401297    0.3341549635    0.3464814425    0.3581536055    0.3692750692
  0.3799303770    0.3901868105    0.4001015902    0.4097212553    0.4190873384
  0.4282324553    0.4371880770    0.4459800959    0.4546305895    0.4631614923
  0.4715898275    0.4799334288    0.4882075071    0.4964256525    0.5045996428
  0.5127431154    0.5208650351    0.5289759874    0.5370863676    0.5452039480
  0.5533372164    0.5614934683    0.5696798563    0.5779035330    0.5861689806
  0.5944836855    0.6028522730    0.6112784624    0.6197705030    0.6283290148
  0.6369627714    0.6456759214    0.6544759989    0.6633707285    0.6723707914
  0.6814910650    0.6907535315    0.7001827002    0.7098216295    0.7197250605
  0.7299793959    0.7407196283    0.7521621943    0.7647002459    0.7791657209
  0.7978905439    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.0000000238    0.0732393980    0.1273587942    0.1667409182    0.1972986460
  0.2223229647    0.2436280489    0.2622842550    0.2789688826    0.2941348791
  0.3080993891    0.3210926771    0.3332881212    0.3448176622    0.3557865381
  0.3662778139    0.3763604403    0.3860897779    0.3955138922    0.4046724558
  0.4135992289    0.4223252535    0.4308760405    0.4392738581    0.4475393057
  0.4556915522    0.4637453318    0.4717165709    0.4796187162    0.4874644518
  0.4952650785    0.5030309916    0.5107724428    0.5184974432    0.5262163401
  0.5339369059    0.5416651011    0.5494103670    0.5571763754    0.5649719477
  0.5728006601    0.5806689024    0.5885819197    0.5965427637    0.6045563459
  0.6126270533    0.6207571268    0.6289518118    0.6372133493    0.6455466032
  0.6539574385    0.6624486208    0.6710294485    0.6797088385    0.6885040522
  0.6974289179    0.7065128565    0.7157917261    0.7253227472    0.7351853132
  0.7455047369    0.7564880133    0.7684998751    0.7822938204    0.7999305487
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
  0.7999999762    0.7999999762    0.7999999762    0.7999999762    0.7999999762
