  0.0000000000    0.0150000000
  0.0002500000    0.0010000000    179    30
  0.0033855583    0.0033695092    0.0033356081    0.0032961439    0.0032545873
  0.0032119957    0.0031687810    0.0031251231    0.0030811226    0.0030368217
  0.0029922817    0.0029474954    0.0029024978    0.0028572822    0.0028118732
  0.0027662628    0.0027204732    0.0026744953    0.0026283497    0.0025820194
  0.0025355392    0.0024888936    0.0024420948    0.0023951655    0.0023480978
  0.0023009236    0.0022536376    0.0022062550    0.0021587958    0.0021112913
  0.0020637352    0.0020161765    0.0019686338    0.0019211211    0.0018736824
  0.0018263450    0.0017791498    0.0017321334    0.0016853309    0.0016388019
  0.0015925748    0.0015467020    0.0015012433    0.0014562129    0.0014116943
  0.0013676929    0.0013242556    0.0012814003    0.0012391411    0.0011974712
  0.0011563571    0.0011157209    0.0010754789    0.0010354422    0.0009953793
  0.0009549056    0.0009134258    0.0008700082    0.0008229850    0.0007688926
  0.0006982293    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0006901892    0.0006901892    0.0006901892    0.0006901892    0.0006901892
  0.0036028847    0.0035886612    0.0035570424    0.0035191187    0.0034786636
  0.0034369706    0.0033945219    0.0033515641    0.0033082162    0.0032645489
  0.0032206051    0.0031764152    0.0031319856    0.0030873465    0.0030424931
  0.0029974425    0.0029521875    0.0029067510    0.0028611232    0.0028153152
  0.0027693405    0.0027231833    0.0026768560    0.0026303741    0.0025837410
  0.0025369494    0.0024900329    0.0024429849    0.0023958182    0.0023485440
  0.0023011767    0.0022537367    0.0022062358    0.0021587096    0.0021111564
  0.0020636055    0.0020161006    0.0019686431    0.0019212980    0.0018740691
  0.0018270160    0.0017801651    0.0017335553    0.0016872428    0.0016412649
  0.0015956612    0.0015504897    0.0015057757    0.0014615727    0.0014179047
  0.0013747883    0.0013322629    0.0012903141    0.0012489312    0.0012080413
  0.0011676070    0.0011274867    0.0010875098    0.0010473944    0.0010067552
  0.0009649895    0.0009211202    0.0008734672    0.0008186310    0.0007475013
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0007472163    0.0007472163    0.0007472163    0.0007472163    0.0007472163
  0.0038186946    0.0038060641    0.0037766757    0.0037403524    0.0037010900
