  0.0000000000    0.0150000000
  0.0002500000    0.0010000000    179    30
  0.0994016230    0.0992622077    0.0989656150    0.0986165702    0.0982445180
  0.0978582799    0.0974611342    0.0970543921    0.0966386497    0.0962140262
  0.0957807004    0.0953383744    0.0948869884    0.0944261849    0.0939557850
  0.0934753716    0.0929847062    0.0924833119    0.0919708908    0.0914468467
  0.0909109414    0.0903625190    0.0898011029    0.0892262757    0.0886373222
  0.0880338252    0.0874150097    0.0867802203    0.0861288011    0.0854601562
  0.0847732723    0.0840676129    0.0833422840    0.0825962722    0.0818288028
  0.0810388625    0.0802254975    0.0793876350    0.0785240829    0.0776338875
  0.0767155588    0.0757678449    0.0747894943    0.0737784207    0.0727334917
  0.0716521442    0.0705322921    0.0693710744    0.0681652725    0.0669108331
  0.0656025708    0.0642335117    0.0627954900    0.0612761080    0.0596594512
  0.0579217374    0.0560268462    0.0539176762    0.0514924824    0.0485393107
  0.0444712937    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.0439967215    0.0439967215    0.0439967215    0.0439967215    0.0439967215
  0.1005459130    0.1004276574    0.1001630723    0.0998426378    0.0994970500
  0.0991366208    0.0987651646    0.0983844697    0.0979953110    0.0975980461
  0.0971927941    0.0967795551    0.0963581502    0.0959285200    0.0954903662
  0.0950435102    0.0945875943    0.0941224396    0.0936476290    0.0931628644
  0.0926678479    0.0921620429    0.0916450918    0.0911166370    0.0905762017
  0.0900231898    0.0894573033    0.0888778865    0.0882844031    0.0876762569
  0.0870528519    0.0864135921    0.0857577622    0.0850848258    0.0843938291
  0.0836840570    0.0829549134    0.0822052658    0.0814346373    0.0806417763
  0.0798260272    0.0789862573    0.0781213939    0.0772305429    0.0763124526
  0.0753658116    0.0743894875    0.0733817518    0.0723411739    0.0712657273
  0.0701530278    0.0690009296    0.0678059757    0.0665644109    0.0652706325
  0.0639190972    0.0625008643    0.0610048473    0.0594147742    0.0577082336
  0.0558510721    0.0537881553    0.0514235795    0.0485620201    0.0446763933
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.0446605980    0.0446605980    0.0446605980    0.0446605980    0.0446605980
  0.1016256511    0.1015248001    0.1012888849    0.1009947956    0.1006736457
  0.1003366411    0.0999883711    0.0996309817    0.0992654860    0.0988924205
  0.0985119641    0.0981242359    0.0977291763    0.0973267257    0.0969167054
  0.0964989364    0.0960732400    0.0956393778    0.0951971114    0.0947460830
