  0.0000000000    0.0450000000
  0.0020000000    0.0100000000    249    41
  0.1196754873    0.1192505062    0.1182920039    0.1171055734    0.1157863438
  0.1143594086    0.1128278673    0.1111857593    0.1094215214    0.1075188220
  0.1054566801    0.1032081544    0.1007399261    0.0980102122    0.0949686468
  0.0915564001    0.0877117217    0.0833820403    0.0785435140    0.0732076466
  0.0673791468    0.0608970225    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
  0.0572706759    0.0572706759    0.0572706759    0.0572706759    0.0572706759
