  0.0000000000    0.0150000000
  0.0002500000    0.0010000000    179    30
  0.0033188413    0.0033053209    0.0032749773    0.0032384021    0.0031993329
  0.0031590732    0.0031181396    0.0030767579    0.0030350592    0.0029931216
  0.0029509889    0.0029086935    0.0028662378    0.0028236465    0.0027809217
  0.0027380689    0.0026950974    0.0026520114    0.0026088101    0.0025654893
  0.0025220490    0.0024784936    0.0024348234    0.0023910440    0.0023471373
  0.0023031197    0.0022589781    0.0022147130    0.0021703318    0.0021258229
  0.0020811786    0.0020364098    0.0019915088    0.0019464666    0.0019012947
  0.0018559712    0.0018104966    0.0017648715    0.0017190922    0.0016731367
  0.0016270036    0.0015806943    0.0015341820    0.0014874596    0.0014404987
  0.0013932787    0.0013457797    0.0012979516    0.0012497450    0.0012010927
  0.0011519168    0.0011020969    0.0010727410    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0010727413    0.0010727413    0.0010727413    0.0010727413    0.0010727413
  0.0035235492    0.0035116003    0.0034834879    0.0034484908    0.0034105494
  0.0033711435    0.0033308933    0.0032901108    0.0032489649    0.0032075324
  0.0031658770    0.0031240223    0.0030820177    0.0030398593    0.0029975662
  0.0029551424    0.0029126034    0.0028699331    0.0028271612    0.0027842773
  0.0027412750    0.0026981594    0.0026549308    0.0026115935    0.0025681470
  0.0025245881    0.0024809179    0.0024371275    0.0023932207    0.0023491994
  0.0023050640    0.0022608018    0.0022164197    0.0021719187    0.0021272778
  0.0020825141    0.0020376234    0.0019925851    0.0019474107    0.0019020910
  0.0018566205    0.0018109918    0.0017652089    0.0017192457    0.0016731061
  0.0016267737    0.0015802337    0.0015334644    0.0014864561    0.0014391671
  0.0013915834    0.0013436364    0.0012952811    0.0012464561    0.0011970380
  0.0011500094    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
  0.0011500097    0.0011500097    0.0011500097    0.0011500097    0.0011500097
