  0.0000000000    0.0036000000
  0.0000500000    0.0006000000    299    19
  0.0008408421    0.0008331135    0.0008237447    0.0008143059    0.0008048435
  0.0007953681    0.0007858796    0.0007763851    0.0007668855    0.0007573727
  0.0007478545    0.0007383326    0.0007287998    0.0007192612    0.0007097134
  0.0007001617    0.0006906003    0.0006810351    0.0006714582    0.0006618810
  0.0006522914    0.0006426959    0.0006330960    0.0006234862    0.0006138712
  0.0006042487    0.0005946193    0.0005849818    0.0005753399    0.0005656887
  0.0005560328    0.0005463684    0.0005366951    0.0005270166    0.0005173315
  0.0005076367    0.0004979364    0.0004882294    0.0004785115    0.0004687874
  0.0004590551    0.0004493157    0.0004395645    0.0004298054    0.0004200350
  0.0004102580    0.0004004684    0.0003906696    0.0003808557    0.0003710302
  0.0003611882    0.0003513343    0.0003414583    0.0003315666    0.0003216502
  0.0003117099    0.0003017418    0.0002917422    0.0002817053    0.0002716239
  0.0002614893    0.0002512913    0.0002410176    0.0002327231    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
  0.0002327232    0.0002327232    0.0002327232    0.0002327232    0.0002327232
