  0.0000000000    219.3550000000
  0.2000000000    10.0000000000    199    199
  0.0000000209    0.0124703497    0.0249418885    0.0374161392    0.0498941034
  0.0623771995    0.0748666376    0.0873637527    0.0998699635    0.1123866051
  0.1249150962    0.1374568969    0.1500134259    0.1625863940    0.1751773030
  0.1877877802    0.2004194528    0.2130743235    0.2257540196    0.2384606272
  0.2511961073    0.2639626294    0.2767625719    0.2895980626    0.3024717301
  0.3153860778    0.3283442348    0.3413487047    0.3544026166    0.3675096005
  0.3806728274    0.3938963026    0.4071838230    0.4205396444    0.4339685231
  0.4474752158    0.4610648543    0.4747430712    0.4885161668    0.5023906082
  0.5163734883    0.5304725677    0.5446960658    0.5590534538    0.5735544950
  0.5882103711    0.6030335158    0.6180369049    0.6332355589    0.6486464590
  0.6642878801    0.6801811010    0.6963502795    0.6999999791    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.0000000209    0.0122003168    0.0244016975    0.0366054982    0.0488128036
  0.0610247821    0.0732426435    0.0854675561    0.0977008551    0.1099437505
  0.1221974522    0.1344634205    0.1467429906    0.1590375811    0.1713484854
  0.1836773306    0.1960257858    0.2083951861    0.2207874924    0.2332044154
  0.2456476241    0.2581192046    0.2706212014    0.2831554502    0.2957246214
  0.3083306342    0.3209762841    0.3336639494    0.3463966340    0.3591769665
  0.3720082849    0.3848937601    0.3978369385    0.4108414918    0.4239115089
  0.4370511204    0.4502649575    0.4635579437    0.4769352108    0.4904023916
  0.5039656609    0.5176314861    0.5314070016    0.5453000516    0.5593188137
  0.5734727591    0.5877716094    0.6022267133    0.6168502122    0.6316554576
  0.6466575533    0.6618730634    0.6773210138    0.6930220991    0.6999999791
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
  0.7000000000    0.7000000000    0.7000000000    0.7000000000    0.7000000000
