  0.0000000000    0.0036000000
  0.0000500000    0.0006000000    299    19
  -0.0000002608    0.0011020198    0.0022044882    0.0033078149    0.0044123217
  0.0055181697    0.0066256538    0.0077349350    0.0088463351    0.0099599615
  0.0110762164    0.0121952340    0.0133173630    0.0144427374    0.0155718133
  0.0167046979    0.0178417400    0.0189832345    0.0201294765    0.0212808684
  0.0224376515    0.0236001477    0.0247687861    0.0259438619    0.0271258846
  0.0283151492    0.0295120314    0.0307171747    0.0319308475    0.0331537202
  0.0343860880    0.0356287017    0.0368822590    0.0381469741    0.0394238129
  0.0407135263    0.0420167580    0.0433342323    0.0446668878    0.0460155830
  0.0473816052    0.0487658396    0.0501694664    0.0515937194    0.0530400470
  0.0545100853    0.0545293435    0.0544115409    0.0542935237    0.0541752115
  0.0540568188    0.0539379969    0.0538189873    0.0536997631    0.0535803780
  0.0534605637    0.0533406690    0.0532204792    0.0530998334    0.0529791340
  0.0528582737    0.0527370915    0.0526156411    0.0524939761    0.0523721501
  0.0522500023    0.0521276936    0.0520050898    0.0518821910    0.0517591044
  0.0516357496    0.0515121803    0.0513883427    0.0512643442    0.0511400238
  0.0510154352    0.0508906856    0.0507656410    0.0506404087    0.0505149081
  0.0503891394    0.0502631828    0.0501369581    0.0500105456    0.0498837575
  0.0497568086    0.0496296987    0.0495023206    0.0493746474    0.0492467061
  0.0491186038    0.0489902332    0.0488615945    0.0487327948    0.0486036196
  0.0484742835    0.0483448133    0.0482150748    0.0480849341    0.0479546592
  0.0478242502    0.0476934657    0.0475625202    0.0474313334    0.0472998783
  0.0471682891    0.0470363244    0.0469042256    0.0467718586    0.0466392502
  0.0465065345    0.0463734165    0.0462401912    0.0461067244    0.0459729895
  0.0458390132    0.0457048222    0.0455704972    0.0454357967    0.0453009889
  0.0451659396    0.0450306490    0.0448950097    0.0447592631    0.0446234092
  0.0444872066    0.0443507627    0.0442142114    0.0440774456    0.0439403310
  0.0438031092    0.0436656728    0.0435280219    0.0433901295    0.0432520494
  0.0431137279    0.0429752186    0.0428364679    0.0426975295    0.0425583765
  0.0424191430    0.0422795609    0.0421397910    0.0419999406    0.0418597683
  0.0417193815    0.0415789410    0.0414383128    0.0412973359    0.0411561713
  0.0410149530    0.0408735469    0.0407318190    0.0405900374    0.0404479340
  0.0403057769    0.0401634589    0.0400208190    0.0398781255    0.0397351369
  0.0395920947    0.0394488916    0.0393053934    0.0391618416    0.0390181288
  0.0388742551    0.0387300864    0.0385858908    0.0384415343    0.0382970169
  0.0381522313    0.0380075261    0.0378625527    0.0377173111    0.0375720426
  0.0374266133    0.0372810498    0.0371354863    0.0369895205    0.0368436620
  0.0366975352    0.0365513012    0.0364050403    0.0362585381    0.0361118749
  0.0359652385    0.0358184949    0.0356716171    0.0355246052    0.0353774861
  0.0352302328    0.0350828722    0.0349354044    0.0347879633    0.0346403882
  0.0344927326    0.0343449697    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  0.0343218759    0.0343218759    0.0343218759    0.0343218759    0.0343218759
  -0.0000002608    0.0009617403    0.0019239023    0.0028868422    0.0038507476
  0.0048157528    0.0057819650    0.0067495719    0.0077186808    0.0086894795
  0.0096620753    0.0106366828    0.0116133556    0.0125923350    0.0135737285
  0.0145577505    0.0155445084    0.0165342435    0.0175270900    0.0185232893
  0.0195229486    0.0205262020    0.0215334252    0.0225447521    0.0235603169
  0.0245803609    0.0256053135    0.0266350940    0.0276702121    0.0287106946
  0.0297569975    0.0308093354    0.0318679765    0.0329332694    0.0340054557
  0.0350849643    0.0361720905    0.0372671291    0.0383706167    0.0394828215
