  0.0000000000    0.0150000000
  0.0002500000    0.0010000000    179    30
  0.0987715423    0.0986410081    0.0983567536    0.0980177224    0.0976543128
  0.0972761214    0.0968867242    0.0964876711    0.0960796773    0.0956630409
  0.0952378213    0.0948039591    0.0943613946    0.0939099491    0.0934492648
  0.0929792821    0.0924995840    0.0920098126    0.0915097296    0.0909989774
  0.0904770195    0.0899434984    0.0893979967    0.0888399184    0.0882687867
  0.0876839459    0.0870848596    0.0864708126    0.0858411491    0.0851949155
  0.0845313370    0.0838495195    0.0831484497    0.0824268758    0.0816836655
  0.0809175074    0.0801267922    0.0793099105    0.0784650147    0.0775898993
  0.0766823590    0.0757397115    0.0747588575    0.0737363994    0.0726681650
  0.0715496242    0.0703749955    0.0691379011    0.0678305924    0.0664430559
  0.0649634302    0.0633772910    0.0616646111    0.0598011315    0.0577522814
  0.0554706752    0.0528883636    0.0498990715    0.0463301837    0.0418792069
  0.0359847844    0.0278718770    0.0226465762    0.0225742161    0.0225014389
  0.0224281847    0.0223545134    0.0222803652    0.0222057998    0.0221307576
  0.0220552385    0.0219792426    0.0219027698    0.0218257606    0.0217482746
  0.0216702521    0.0215916932    0.0215126574    0.0214330256    0.0213528574
  0.0212720931    0.0211905539    0.0211086571    0.0210261047    0.0209429562
  0.0208591521    0.0207746923    0.0206896365    0.0206038058    0.0205173194
  0.0204301178    0.0203422010    0.0202535689    0.0201641619    0.0200739205
  0.0199829042    0.0198910534    0.0197983682    0.0197047889    0.0196103752
  0.0195149481    0.0194186866    0.0193213522    0.0192230046    0.0191237032
  0.0190233290    0.0189218819    0.0188192427    0.0187154114    0.0186103284
  0.0185040534    0.0183965266    0.0182876289    0.0181773007    0.0180656016
  0.0179523528    0.0178374946    0.0177210867    0.0176030099    0.0174830854
  0.0173614323    0.0172378123    0.0171122253    0.0169844329    0.0168545544
  0.0167222917    0.0165876448    0.0164504349    0.0163104832    0.0161677301
  0.0160219967    0.0158730447    0.0157206357    0.0155646503    0.0154048502
  0.0152408779    0.0150723755    0.0148991048    0.0147207677    0.0145365894
  0.0143464506    0.0141493976    0.0139451325    0.0137325823    0.0135107934
  0.0132787526    0.0130354464    0.0127786100    0.0125061572    0.0122158229
  0.0119043291    0.0115664303    0.0111959279    0.0107834637    0.0103145540
  0.0097651184    0.0090896785    0.0081832111    0.0067090094    0.0014915764
  0.0014915764    0.0014915764    0.0014915764    0.0014915764    0.0014915764
  0.0014915764    0.0014915764    0.0014915764    0.0014915764    0.0014915764
  0.0014915764    0.0014915764    0.0014915764    0.0014915764    0.0014915764
  0.0014915764    0.0014915764    0.0014915764    0.0014915764    0.0014915764
  0.0998570621    0.0997463763    0.0994931757    0.0991820991    0.0988444388
  0.0984910429    0.0981263220    0.0977521241    0.0973694623    0.0969787538
  0.0965802372    0.0961739123    0.0957597792    0.0953377187    0.0949075520
  0.0944691002    0.0940222442    0.0935666859    0.0931020677    0.0926282704
  0.0921448171    0.0916514695    0.0911479294    0.0906336606    0.0901084244
  0.0895716250    0.0890228450    0.0884616673    0.0878874362    0.0872996747
  0.0866976678    0.0860807598    0.0854482353    0.0847993791    0.0841332376
  0.0834489167    0.0827453434    0.0820215046    0.0812760890    0.0805078447
  0.0797151029    0.0788964331    0.0780499279    0.0771733820    0.0762644708
  0.0753206313    0.0743390620    0.0733160079    0.0722473562    0.0711289346
  0.0699547827    0.0687189400    0.0674130023    0.0660278499    0.0645518601
  0.0629700720    0.0612638891    0.0594087541    0.0573718250    0.0551070869
  0.0525491536    0.0495976508    0.0460914671    0.0417533219    0.0360953510
  0.0284803212    0.0230920017    0.0230222046    0.0229519904    0.0228813589
  0.0228103697    0.0227389634    0.0226671398    0.0225949585    0.0225223005
  0.0224492252    0.0223757327    0.0223017633    0.0222274363    0.0221525133
  0.0220772326    0.0220014155    0.0219250619    0.0218483508    0.0217711031
  0.0216933191    0.0216147602    0.0215359628    0.0214566290    0.0213766396
  0.0212961733    0.0212151110    0.0211333930    0.0210510790    0.0209682286
  0.0208847821    0.0208006203    0.0207158029    0.0206302702    0.0205442011
  0.0204572976    0.0203697979    0.0202814043    0.0201923549    0.0201025307
  0.0200118721    0.0199204385    0.0198281705    0.0197350085    0.0196410120
  0.0195460618    0.0194501579    0.0193533599    0.0192555487    0.0191566646
  0.0190568864    0.0189558566    0.0188537538    0.0187505186    0.0186460912
  0.0185404122    0.0184334815    0.0183252990    0.0182156265    0.0181045830
  0.0179921091    0.0178780854    0.0177624524    0.0176451504    0.0175261796
  0.0174054205    0.0172827542    0.0171581209    0.0170315206    0.0169026554
  0.0167715847    0.0166381896    0.0165021718    0.0163637102    0.0162223876
  0.0160781443    0.0159307420    0.0157801807    0.0156259835    0.0154682100
  0.0153062046    0.0151400268    0.0149694383    0.0147936046    0.0146125257
  0.0144254267    0.0142321289    0.0140316188    0.0138234794    0.0136066377
  0.0133800209    0.0131426156    0.0128929317    0.0126290619    0.0123487413
  0.0120485723    0.0117252767    0.0113731921    0.0109846890    0.0105483234
  0.0100466311    0.0094476640    0.0086887181    0.0076086223    0.0055745542
  0.0039063394    0.0039063394    0.0039063394    0.0039063394    0.0039063394
  0.0039063394    0.0039063394    0.0039063394    0.0039063394    0.0039063394
  0.1008814275    0.1007870138    0.1005615890    0.1002763808    0.0999625027
  0.0996318161    0.0992894471    0.0989376009    0.0985775292    0.0982098877
  0.0978349149    0.0974528491    0.0970636904    0.0966673195    0.0962637365
  0.0958528221    0.0954343975    0.0950082242    0.0945741832    0.0941320360
  0.0936815441    0.0932224095    0.0927544534    0.0922772586    0.0917905867
  0.0912940204    0.0907873213    0.0902699530    0.0897416770    0.0892019570
  0.0886503160    0.0880863369    0.0875093043    0.0869188607    0.0863142312
  0.0856948197    0.0850598514    0.0844084918    0.0837401450    0.0830534995
  0.0823478401    0.0816219151    0.0808745921    0.0801045001    0.0793102086
  0.0784899890    0.0776419938    0.0767642558    0.0758543909    0.0749097764
  0.0739274323    0.0729041398    0.0718355477    0.0707174242    0.0695442855
  0.0683095753    0.0670058429    0.0656233132    0.0641510189    0.0625742972
  0.0608749688    0.0590288341    0.0570045412    0.0547570884    0.0522238910
