  0.0000000000    20.3550000000
  0.0500000000    1.0000000000    249    199
  5.3890367804    5.3890678730    5.3891752115    5.3893503687    5.3895946525
  5.3899053045    5.3902893030    5.3907450101    5.3912713653    5.3918679602
  5.3925395830    5.3932779870    5.3940939612    5.3949808104    5.3959463489
  5.3969811250    5.3980993343    5.3992890840    5.4005622608    5.4019184631
  5.4033541531    5.4048765061    5.4064852436    5.4081821147    5.4099753583
  5.4118667557    5.4138607659    5.4159560714    5.4181678624    5.4204934753
  5.4229434203    5.4255246395    5.4282501411    5.4311228382    5.4341622887
  5.4373810145    5.4407949296    5.4444258419    5.4482966736    5.4524354985
  5.4568779822    5.4616707605    5.4668633590    5.4725324368    5.4764600536
  5.4767816614    5.4771098088    5.4774444271    5.4777854072    5.4781287650
  5.4784821651    5.4788371890    5.4791981728    5.4795694523    5.4799420872
  5.4803204066    5.4807087558    5.4810982323    5.4814931748    5.4818979207
  5.4823079913    5.4827189181    5.4831394504    5.4835651262    5.4839959003
  5.4844317214    5.4848725426    5.4853227123    5.4857734067    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.4860949440    5.4860949440    5.4860949440    5.4860949440    5.4860949440
  5.6780375199    5.6780719518    5.6781706993    5.6783392567    5.6785740307
  5.6788766895    5.6792494071    5.6796853402    5.6801924591    5.6807650427
  5.6814121951    5.6821246187    5.6829079650    5.6837590868    5.6846850326
  5.6856841999    5.6867559192    5.6879003847    5.6891235781    5.6904232092
  5.6918028615    5.6932628357    5.6948048797    5.6964323774    5.6981459856
  5.6999574920    5.7018579962    5.7038594194    5.7059675393    5.7081775775
  5.7105066670    5.7129579355    5.7155350142    5.7182516264    5.7211189624
  5.7241426636    5.7273418124    5.7307290468    5.7343254182    5.7381551392
  5.7422405494    5.7466203780    5.7513309440    5.7564204445    5.7619581052
  5.7665325459    5.7668520073    5.7671754840    5.7675029372    5.7678388521
  5.7681790909    5.7685224556    5.7688739701    5.7692289798    5.7695919839
  5.7699582903    5.7703324197    5.7707097077    5.7710946635    5.7714826428
  5.7718781414    5.7722811125    5.7726868908    5.7730954421    5.7735112903
  5.7739343559    5.7743645922    5.7747974196    5.7752327635    5.7756797231
  5.7761245731    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.7762822404    5.7762822404    5.7762822404    5.7762822404    5.7762822404
  5.9679818543    5.9680171078    5.9681131680    5.9682756470    5.9685006762
  5.9687947257    5.9691499110    5.9695736218    5.9700589050    5.9706141763
  5.9712335262    5.9719215062    5.9726783107    5.9734998313    5.9743925296
  5.9753537090    5.9763864362    5.9774895975    5.9786679171    5.9799174832
  5.9812450768    5.9826489288    5.9841286410    5.9856948537    5.9873405629
  5.9890748243    5.9908992369    5.9928172419    5.9948302728    5.9969423525
  5.9991653059    6.0015003193    6.0039525592    6.0065318029    6.0092437763
  6.0121048732    6.0151204119    6.0183041340    6.0216750854    6.0252464986
  6.0290460063    6.0330926956    6.0374190983    6.0420639159    6.0470760309
  6.0525050782    6.0575673399    6.0578775846    6.0581989927    6.0585219207
