  0.0000000000    0.0000000000
  0.0000100000    0.0003000000    499    12
  0.0000000000    0.0014522374    0.0014550388    0.0014566481    0.0014578402
  0.0014587343    0.0014595091    0.0014601052    0.0014606416    0.0014611185
  0.0014615953    0.0014619529    0.0014623106    0.0014626682    0.0014629662
  0.0014632046    0.0014635026    0.0014637411    0.0014639795    0.0014642179
  0.0014643967    0.0014645755    0.0014648139    0.0014649928    0.0014651716
  0.0014653504    0.0014654696    0.0014656484    0.0014657676    0.0014659464
  0.0014660656    0.0014661849    0.0014663637    0.0014664829    0.0014666021
  0.0014667213    0.0014668405    0.0014669597    0.0014670193    0.0014671385
  0.0014672577    0.0014673769    0.0014674366    0.0014675558    0.0014676750
  0.0014677346    0.0014678538    0.0014679134    0.0014680326    0.0014680922
  0.0014681518    0.0014682710    0.0014683306    0.0014683902    0.0014685094
  0.0014685690    0.0014686286    0.0014686882    0.0014688075    0.0014688671
  0.0014689267    0.0014689863    0.0014690459    0.0014691055    0.0014691651
  0.0014692843    0.0014693439    0.0014694035    0.0014694631    0.0014695227
  0.0014695823    0.0014696419    0.0014697015    0.0014697611    0.0014697611
  0.0014698207    0.0014698803    0.0014699399    0.0014699996    0.0014700592
  0.0014701188    0.0014701784    0.0014702380    0.0014702380    0.0014702976
  0.0014703572    0.0014704168    0.0014704764    0.0014705360    0.0014705360
  0.0014705956    0.0014706552    0.0014707148    0.0014707148    0.0014707744
  0.0014708340    0.0014708936    0.0014708936    0.0014709532    0.0014710128
  0.0014710128    0.0014710724    0.0014711320    0.0014711320    0.0014711916
  0.0014712512    0.0014712512    0.0014713109    0.0014713705    0.0014713705
  0.0014714301    0.0014714897    0.0014714897    0.0014715493    0.0014715493
  0.0014716089    0.0014716685    0.0014716685    0.0014717281    0.0014717281
  0.0014717877    0.0014718473    0.0014718473    0.0014719069    0.0014719069
  0.0014719665    0.0014719665    0.0014720261    0.0014720857    0.0014720857
  0.0014721453    0.0014721453    0.0014722049    0.0014722049    0.0014722645
  0.0014722645    0.0014723241    0.0014723241    0.0014723837    0.0014723837
  0.0014724433    0.0014724433    0.0014725029    0.0014725029    0.0014725626
  0.0014725626    0.0014726222    0.0014726222    0.0014726818    0.0014726818
  0.0014727414    0.0014727414    0.0014727414    0.0014728010    0.0014728010
  0.0014728606    0.0014728606    0.0014729202    0.0014729202    0.0014729798
  0.0014729798    0.0014729798    0.0014730394    0.0014730394    0.0014730990
  0.0014730990    0.0014731586    0.0014731586    0.0014731586    0.0014732182
  0.0014732182    0.0014732778    0.0014732778    0.0014732778    0.0014733374
  0.0014733374    0.0014733970    0.0014733970    0.0014733970    0.0014734566
  0.0014734566    0.0014735162    0.0014735162    0.0014735162    0.0014735758
  0.0014735758    0.0014736354    0.0014736354    0.0014736354    0.0014736950
  0.0014736950    0.0014736950    0.0014737546    0.0014737546    0.0014737546
  0.0014738142    0.0014738142    0.0014738739    0.0014738739    0.0014738739
  0.0014739335    0.0014739335    0.0014739335    0.0014739931    0.0014739931
  0.0014739931    0.0014740527    0.0014740527    0.0014740527    0.0014741123
  0.0014741123    0.0014741123    0.0014741719    0.0014741719    0.0014741719
  0.0014742315    0.0014742315    0.0014742315    0.0014742911    0.0014742911
  0.0014742911    0.0014743507    0.0014743507    0.0014743507    0.0014743507
  0.0014744103    0.0014744103    0.0014744103    0.0014744699    0.0014744699
  0.0014744699    0.0014745295    0.0014745295    0.0014745295    0.0014745891
  0.0014745891    0.0014745891    0.0014745891    0.0014746487    0.0014746487
  0.0014746487    0.0014747083    0.0014747083    0.0014747083    0.0014747083
  0.0014747679    0.0014747679    0.0014747679    0.0014748275    0.0014748275
  0.0014748275    0.0014748275    0.0014748871    0.0014748871    0.0014748871
  0.0014749467    0.0014749467    0.0014749467    0.0014749467    0.0014750063
  0.0014750063    0.0014750063    0.0014750063    0.0014750659    0.0014750659
  0.0014750659    0.0014750659    0.0014751256    0.0014751256    0.0014751256
  0.0014751852    0.0014751852    0.0014751852    0.0014751852    0.0014752448
  0.0014752448    0.0014752448    0.0014752448    0.0014753044    0.0014753044
  0.0014753044    0.0014753044    0.0014753640    0.0014753640    0.0014753640
  0.0014753640    0.0014754236    0.0014754236    0.0014754236    0.0014754236
  0.0014754832    0.0014754832    0.0014754832    0.0014754832    0.0014754832
  0.0014755428    0.0014755428    0.0014755428    0.0014755428    0.0014756024
  0.0014756024    0.0014756024    0.0014756024    0.0014756620    0.0014756620
  0.0014756620    0.0014756620    0.0014756620    0.0014757216    0.0014757216
  0.0014757216    0.0014757216    0.0014757812    0.0014757812    0.0014757812
  0.0014757812    0.0014758408    0.0014758408    0.0014758408    0.0014758408
  0.0014758408    0.0014759004    0.0014759004    0.0014759004    0.0014759004
  0.0014759004    0.0014759600    0.0014759600    0.0014759600    0.0014759600
  0.0014760196    0.0014760196    0.0014760196    0.0014760196    0.0014760196
  0.0014760792    0.0014760792    0.0014760792    0.0014760792    0.0014760792
  0.0014761388    0.0014761388    0.0014761388    0.0014761388    0.0014761388
  0.0014761984    0.0014761984    0.0014761984    0.0014761984    0.0014761984
  0.0014762580    0.0014762580    0.0014762580    0.0014762580    0.0014762580
  0.0014763176    0.0014763176    0.0014763176    0.0014763176    0.0014763176
  0.0014763772    0.0014763772    0.0014763772    0.0014763772    0.0014763772
  0.0014764369    0.0014764369    0.0014764369    0.0014764369    0.0014764369
  0.0014764965    0.0014764965    0.0014764965    0.0014764965    0.0014764965
  0.0014764965    0.0014765561    0.0014765561    0.0014765561    0.0014765561
  0.0014765561    0.0014766157    0.0014766157    0.0014766157    0.0014766157
  0.0014766157    0.0014766753    0.0014766753    0.0014766753    0.0014766753
  0.0014766753    0.0014766753    0.0014767349    0.0014767349    0.0014767349
  0.0014767349    0.0014767349    0.0014767349    0.0014767945    0.0014767945
  0.0014767945    0.0014767945    0.0014767945    0.0014768541    0.0014768541
  0.0014768541    0.0014768541    0.0014768541    0.0014768541    0.0014769137
  0.0014769137    0.0014769137    0.0014769137    0.0014769137    0.0014769137
  0.0014769733    0.0014769733    0.0014769733    0.0014769733    0.0014769733
  0.0014769733    0.0014770329    0.0014770329    0.0014770329    0.0014770329
  0.0014770329    0.0014770329    0.0014770925    0.0014770925    0.0014770925
  0.0014770925    0.0014770925    0.0014770925    0.0014771521    0.0014771521
  0.0014771521    0.0014771521    0.0014771521    0.0014771521    0.0014772117
  0.0014772117    0.0014772117    0.0014772117    0.0014772117    0.0014772117
  0.0014772117    0.0014772713    0.0014772713    0.0014772713    0.0014772713
  0.0014772713    0.0014772713    0.0014773309    0.0014773309    0.0014773309
  0.0014773309    0.0014773309    0.0014773309    0.0014773309    0.0014773905
  0.0014773905    0.0014773905    0.0014773905    0.0014773905    0.0014773905
  0.0014774501    0.0014774501    0.0014774501    0.0014774501    0.0014774501
  0.0014774501    0.0014774501    0.0014775097    0.0014775097    0.0014775097
  0.0014775097    0.0014775097    0.0014775097    0.0014775097    0.0014775693
  0.0014775693    0.0014775693    0.0014775693    0.0014775693    0.0014775693
  0.0014775693    0.0014776289    0.0014776289    0.0014776289    0.0014776289
  0.0014776289    0.0014776289    0.0014776289    0.0014776886    0.0014776886
  0.0014776886    0.0014776886    0.0014776886    0.0014776886    0.0014776886
  0.0476553738    0.0473538935    0.0470446050    0.0467272103    0.0464010537
  0.0460656583    0.0457204878    0.0453646481    0.0449974835    0.0446180999
  0.0442254245    0.0438184440    0.0433957279    0.0429557264    0.0424968898
  0.0420169532    0.0415137112    0.0409840643    0.0404247344    0.0398311913
  0.0391983092    0.0385192335    0.0377851427    0.0369844735    0.0361008942
  0.0351114571    0.0339809954    0.0326525271    0.0310230553    0.0288755000
  0.0255905688    0.0176162422    0.0093304217    0.0092959106    0.0092608631
  0.0092252791    0.0091890991    0.0091523230    0.0091149509    0.0090769231
  0.0090382397    0.0089988410    0.0089586675    0.0089177191    0.0088758767
  0.0088333189    0.0087898076    0.0087454021    0.0086999834    0.0086534321
  0.0086058676    0.0085571110    0.0085071027    0.0084557235    0.0084028542
  0.0083485544    0.0082926452    0.0082349479    0.0081752241    0.0081134737
  0.0080495179    0.0079831183    0.0079139173    0.0078417957    0.0077663958
  0.0076871216    0.0076037943    0.0075156987    0.0074219406    0.0073219836
  0.0072143972    0.0070978701    0.0069703758    0.0068288147    0.0066694915
  0.0064853132    0.0062649548    0.0059862435    0.0055933297    0.0048363507
  0.0014778674    0.0014701784    0.0014702380    0.0014702380    0.0014702976
  0.0014703572    0.0014704168    0.0014704764    0.0014705360    0.0014705360
  0.0014705956    0.0014706552    0.0014707148    0.0014707148    0.0014707744
  0.0014708340    0.0014708936    0.0014708936    0.0014709532    0.0014710128
  0.0014710128    0.0014710724    0.0014711320    0.0014711320    0.0014711916
  0.0014712512    0.0014712512    0.0014713109    0.0014713705    0.0014713705
  0.0014714301    0.0014714897    0.0014714897    0.0014715493    0.0014715493
  0.0014716089    0.0014716685    0.0014716685    0.0014717281    0.0014717281
  0.0014717877    0.0014718473    0.0014718473    0.0014719069    0.0014719069
  0.0014719665    0.0014719665    0.0014720261    0.0014720857    0.0014720857
  0.0014721453    0.0014721453    0.0014722049    0.0014722049    0.0014722645
  0.0014722645    0.0014723241    0.0014723241    0.0014723837    0.0014723837
  0.0014724433    0.0014724433    0.0014725029    0.0014725029    0.0014725626
  0.0014725626    0.0014726222    0.0014726222    0.0014726818    0.0014726818
  0.0014727414    0.0014727414    0.0014727414    0.0014728010    0.0014728010
  0.0014728606    0.0014728606    0.0014729202    0.0014729202    0.0014729798
  0.0014729798    0.0014729798    0.0014730394    0.0014730394    0.0014730990
  0.0014730990    0.0014731586    0.0014731586    0.0014731586    0.0014732182
  0.0014732182    0.0014732778    0.0014732778    0.0014732778    0.0014733374
  0.0014733374    0.0014733970    0.0014733970    0.0014733970    0.0014734566
  0.0014734566    0.0014735162    0.0014735162    0.0014735162    0.0014735758
  0.0014735758    0.0014736354    0.0014736354    0.0014736354    0.0014736950
  0.0014736950    0.0014736950    0.0014737546    0.0014737546    0.0014737546
  0.0014738142    0.0014738142    0.0014738739    0.0014738739    0.0014738739
  0.0014739335    0.0014739335    0.0014739335    0.0014739931    0.0014739931
