  0.0000000000    0.4550000000
  0.0100000000    0.1000000000    349    199
  0.0710028263    0.0709768665    0.0708992086    0.0707718201    0.0705969164
  0.0703779124    0.0701186557    0.0698232865    0.0694955369    0.0691390108
  0.0687557267    0.0683457903    0.0679066176    0.0674322887    0.0669133907
  0.0663369819    0.0656873762    0.0649467071    0.0640961414    0.0631166038
  0.0619888613    0.0606924348    0.0592045576    0.0574960152    0.0555297450
  0.0532691953    0.0507544321    0.0488105879    0.0487228550    0.0486416348
  0.0485669177    0.0484981509    0.0484350628    0.0483775856    0.0483254585
  0.0482782275    0.0482356497    0.0481974911    0.0481636562    0.0481335432
  0.0481072063    0.0480843213    0.0480644561    0.0480476854    0.0480334762
  0.0480217994    0.0480123913    0.0480049960    0.0479994949    0.0479956511
  0.0479931262    0.0479919431    0.0479916676    0.0479924548    0.0479937743
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0479938830    0.0479938830    0.0479938830    0.0479938830    0.0479938830
  0.0857047556    0.0856937136    0.0856612134    0.0856077207    0.0855348076
  0.0854440824    0.0853374493    0.0852175498    0.0850858761    0.0849447515
  0.0847955660    0.0846392286    0.0844761961    0.0843058977    0.0841263184
  0.0839344177    0.0837254226    0.0834914968    0.0832231383    0.0829065331
  0.0825256089    0.0820606160    0.0814883616    0.0807834092    0.0799186612
  0.0788660920    0.0775988195    0.0760920840    0.0743209355    0.0722553147
  0.0698473458    0.0670117655    0.0636051627    0.0603596148    0.0602185815
  0.0600865023    0.0599629084    0.0598476579    0.0597402952    0.0596406911
  0.0595483332    0.0594631048    0.0593846672    0.0593126159    0.0592467100
  0.0591865705    0.0591318228    0.0590824177    0.0590378521    0.0589980901
  0.0589625075    0.0589312385    0.0589036777    0.0588798304    0.0588592649
  0.0588418511    0.0588273269    0.0588154363    0.0588060771    0.0587990097
  0.0587941451    0.0587909778    0.0587895763    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.0587895048    0.0587895048    0.0587895048    0.0587895048    0.0587895048
  0.1013274173    0.1013254584    0.1013194917    0.1013105577    0.1012999521
  0.1012891160    0.1012807822    0.1012769775    0.1012803871    0.1012936438
  0.1013189438    0.1013586075    0.1014140879    0.1014859387    0.1015738921
  0.1016769709    0.1017931995    0.1019194494    0.1020519182    0.1021856611
  0.1023149699    0.1024335291    0.1025330043    0.1026043732    0.1026366343
  0.1026157212    0.1025256838    0.1023462810    0.1020524424    0.1016134497
  0.1009905460    0.1001356296    0.0989899140    0.0974839927    0.0955439556
  0.0931035398    0.0901160557    0.0865368684    0.0822356507    0.0767610751
  0.0744839906    0.0742298358    0.0739875690    0.0737575719    0.0735391164
  0.0733324044    0.0731369130    0.0729524120    0.0727783935    0.0726148315
  0.0724612531    0.0723170229    0.0721820596    0.0720557573    0.0719378813
  0.0718280298    0.0717258191    0.0716307017    0.0715426661    0.0714610147
  0.0713855891    0.0713160613    0.0712519475    0.0711931130    0.0711392666
  0.0710897818    0.0710448924    0.0710038235    0.0709666579    0.0709329715
  0.0709026910    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.0708895646    0.0708895646    0.0708895646    0.0708895646    0.0708895646
  0.1178810540    0.1178837175    0.1178917304    0.1179057553    0.1179270473
  0.1179576663    0.1179994841    0.1180549482    0.1181274937    0.1182204790
  0.1183373205    0.1184813009    0.1186562319    0.1188652144    0.1191108112
  0.1193945247    0.1197175775    0.1200794794    0.1204787469    0.1209126113
  0.1213777658    0.1218692621    0.1223817697    0.1229089261    0.1234448069
  0.1239827423    0.1245161548    0.1250382429    0.1255427143    0.1260225924
  0.1264709075    0.1268799282    0.1272410346    0.1275444954    0.1277779947
  0.1279266782    0.1279709503    0.1278858172    0.1276364241    0.1271743975
  0.1264284479    0.1252874013    0.1235691767    0.1209531724    0.1168666197
  0.1105102575    0.1015992104    0.0957185313    0.0951804204    0.0946541520
  0.0941407835    0.0936417603    0.0931578625    0.0926904862    0.0922399658
  0.0918067452    0.0913913501    0.0909940276    0.0906145162    0.0902525748
  0.0899083862    0.0895811431    0.0892706680    0.0889761983    0.0886976077
  0.0884339827    0.0881848345    0.0879495017    0.0877273422    0.0875177333
  0.0873202745    0.0871339803    0.0869586838    0.0867934350    0.0866378973
  0.0864913503    0.0863536739    0.0862239816    0.0861017826    0.0860268174
  0.0860268174    0.0860268174    0.0860268174    0.0860268174    0.0860268174
  0.0860268174    0.0860268174    0.0860268174    0.0860268174    0.0860268174
  0.0860268174    0.0860268174    0.0860268174    0.0860268174    0.0860268174
  0.0860268174    0.0860268174    0.0860268174    0.0860268174    0.0860268174
  0.0860268174    0.0860268174    0.0860268174    0.0860268174    0.0860268174
  0.0860268174    0.0860268174    0.0860268174    0.0860268174    0.0860268174
  0.0860268174    0.0860268174    0.0860268174    0.0860268174    0.0860268174
