  0.0000000000    219.3550000000
  0.2000000000    10.0000000000    199    199
  -0.0000003031    -0.0009435329    -0.0018865070    -0.0028297523    -0.0037733772
  -0.0047175136    -0.0056622931    -0.0066078398    -0.0075542930    -0.0085017845
  -0.0094504306    -0.0104003707    -0.0113517365    -0.0123046443    -0.0132592723
  -0.0142157134    -0.0151741150    -0.0161346319    -0.0170973805    -0.0180625078
  -0.0190301535    -0.0200004646    -0.0209735885    -0.0219496569    -0.0229288325
  -0.0239112547    -0.0248970863    -0.0258864668    -0.0268795976    -0.0263708785
  -0.0231782213    -0.0199866256    -0.0167960760    -0.0136066034    -0.0104181769
  -0.0072308275    -0.0040445474    -0.0008593366    0.0023253939    0.0055084661
  0.0086904225    0.0118712863    0.0150510654    0.0182297596    0.0214073613
  0.0245838550    0.0277592251    0.0309334871    0.0341066644    0.0372786716
  0.0404496095    0.0436193773    0.0467880681    0.0499555966    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  0.0499999961    0.0499999961    0.0499999961    0.0499999961    0.0499999961
  -0.0000003031    -0.0009228054    -0.0018450442    -0.0027675310    -0.0036903587
