  0.0000000000    219.3550000000
  0.2000000000    10.0000000000    199    199
  -0.0000003949    0.0073068544    0.0146138355    0.0219218627    0.0292313918
  0.0365429327    0.0438569948    0.0511740878    0.0584947482    0.0658194587
  0.0731487557    0.0804831490    0.0878231481    0.0951692626    0.1025221094
  0.1098821178    0.1172499046    0.1246260062    0.1320109323    0.1394052729
  0.1468095645    0.1542244241    0.1616504148    0.1690880731    0.1765380964
  0.1840009943    0.1914774105    0.1989679620    0.2064733729    0.2109029338
  0.2098235592    0.2087446406    0.2076661244    0.2065880910    0.2055104598
  0.2044332847    0.2033565655    0.2022802755    0.2012042269    0.2001287952
  0.1990538463    0.1979793265    0.1969052628    0.1958316281    0.1947584495
  0.1936857000    0.1926134333    0.1915415958    0.1904701874    0.1893992618
  0.1883287653    0.1872587517    0.1861891404    0.1851200119    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  0.1851050451    0.1851050451    0.1851050451    0.1851050451    0.1851050451
  -0.0000003949    0.0071455196    0.0142911389    0.0214376971    0.0285856232
  0.0357353464    0.0428874031    0.0500421956    0.0572001800    0.0643618926
  0.0715277359    0.0786981925    0.0858737454    0.0930548504    0.1002420440
  0.1074357286    0.1146364406    0.1218446627    0.1290609047    0.1362856761
  0.1435194597    0.1507627651    0.1580161288    0.1652800336    0.1725551233
  0.1798418269    0.1871407345    0.1944524363    0.2017774954    0.2091163948
  0.2104635343    0.2094077095    0.2083522871    0.2072972938    0.2062427029
  0.2051885143    0.2041347548    0.2030813709    0.2020284429    0.2009757027
  0.1999235794    0.1988718852    0.1978205934    0.1967697307    0.1957192704
  0.1946692660    0.1936196372    0.1925704375    0.1915216669    0.1904733256
  0.1894253865    0.1883778766    0.1873307958    0.1862841442    0.1852378950
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  0.1850470290    0.1850470290    0.1850470290    0.1850470290    0.1850470290
  -0.0000003949    0.0069944844    0.0139890149    0.0209844038    0.0279810533
  0.0349793658    0.0419797704    0.0489826426    0.0559884921    0.0629976675
  0.0700106248    0.0770277932    0.0840496287    0.0910764799    0.0981088564
  0.1051471874    0.1121919021    0.1192434296    0.1263022527    0.1333688006
  0.1404435560    0.1475269482    0.1546194866    0.1617216542    0.1688339069
  0.1759567007    0.1830905989    0.1902360305    0.1973935857    0.2045637205
  0.2110637590    0.2100296065    0.2089958295    0.2079624280    0.2069294289
  0.2058968320    0.2048645839    0.2038327381    0.2028012678    0.2017700121
  0.2007393196    0.1997090295    0.1986791417    0.1976496294    0.1966204926
  0.1955917850    0.1945634529    0.1935354963    0.1925079688    0.1914808169
  0.1904540405    0.1894276932    0.1884017214    0.1873761520    0.1863509849
  0.1853262201    0.1849929824    0.1849929824    0.1849929824    0.1849929824
  0.1849929824    0.1849929824    0.1849929824    0.1849929824    0.1849929824
  0.1849929824    0.1849929824    0.1849929824    0.1849929824    0.1849929824
