  0.0000000000    0.0036000000
  0.0000500000    0.0006000000    299    19
  0.0763883591    0.0761957169    0.0759649277    0.0757303238    0.0754938126
  0.0752534866    0.0750093460    0.0747632980    0.0745134354    0.0742597580
  0.0740041733    0.0737447739    0.0734815598    0.0732164383    0.0729455948
  0.0726709366    0.0723924637    0.0721101761    0.0718259811    0.0715360641
  0.0712404251    0.0709428787    0.0706377029    0.0703287125    0.0700159073
  0.0696992874    0.0693750381    0.0690469742    0.0687112808    0.0683698654
  0.0680246353    0.0676717758    0.0673131943    0.0669450760    0.0665731430
  0.0661916733    0.0658006668    0.0654039383    0.0649995804    0.0645875931
  0.0641622543    0.0637273788    0.0632848740    0.0628309250    0.0623636246
  0.0618810654    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
  0.0616292953    0.0616292953    0.0616292953    0.0616292953    0.0616292953
