  0.0000000000    0.0150000000
  0.0002500000    0.0010000000    179    30
  -0.0000005022    0.0015756980    0.0031539902    0.0047358230    0.0063217327
  0.0079120681    0.0095072314    0.0111076519    0.0127137050    0.0143257663
  0.0159443721    0.0175698176    0.0192025855    0.0208431855    0.0224920467
  0.0241496786    0.0258165106    0.0274931863    0.0291801617    0.0308780000
  0.0325873449    0.0343087867    0.0360430226    0.0377906963    0.0395525321
  0.0413293347    0.0431220159    0.0449311659    0.0467579916    0.0486034051
  0.0504683986    0.0523542061    0.0542621419    0.0561933860    0.0581494138
  0.0601320222    0.0621429011    0.0641838744    0.0662572220    0.0683655187
  0.0705112323    0.0726973400    0.0749273285    0.0772053286    0.0795355514
  0.0819237635    0.0843753293    0.0868983224    0.0895003870    0.0921931103
  0.0949888572    0.0979035333    0.0995725378    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  0.0995725498    0.0995725498    0.0995725498    0.0995725498    0.0995725498
  -0.0000005022    0.0014993891    0.0030008629    0.0045053408    0.0060132787
  0.0075250253    0.0090409294    0.0105612859    0.0120864436    0.0136167511
  0.0151525572    0.0166941836    0.0182420060    0.0197964266    0.0213577941
  0.0229265109    0.0245029524    0.0260876015    0.0276808336    0.0292831317
  0.0308949247    0.0325166956    0.0341490611    0.0357923701    0.0374472931
  0.0391143665    0.0407942072    0.0424875125    0.0441950068    0.0459172532
  0.0476550564    0.0494094625    0.0511810616    0.0529710874    0.0547802374
  0.0566097990    0.0584608182    0.0603348508    0.0622330770    0.0641569182
  0.0661083862    0.0680892512    0.0701013908    0.0721471652    0.0742291763
  0.0763504818    0.0785140857    0.0807239041    0.0829841748    0.0852999136
  0.0876770481    0.0901221231    0.0926437750    0.0952518746    0.0979588404
  0.1004983827    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  0.1004984096    0.1004984096    0.1004984096    0.1004984096    0.1004984096
  -0.0000005022    0.0014313683    0.0028644457    0.0043000981    0.0057387009
  0.0071806028    0.0086260721    0.0100754037    0.0115288392    0.0129867539
  0.0144493088    0.0159169063    0.0173897877    0.0188682750    0.0203526899
  0.0218433544    0.0233406171    0.0248447195    0.0263561979    0.0278751597
  0.0294021681    0.0309376523    0.0324818000    0.0340352818    0.0355982855
  0.0371714011    0.0387550846    0.0403498456    0.0419561401    0.0435745582
  0.0452057168    0.0468502060    0.0485086694    0.0501816973    0.0518701479
  0.0535748526    0.0552965090    0.0570359483    0.0587944046    0.0605726823
  0.0623719886    0.0641935572    0.0660386756    0.0679088727    0.0698058650
  0.0717310473    0.0736868069    0.0756751016    0.0776984259    0.0797593549
  0.0818616435    0.0840081081    0.0862032548    0.0884517238    0.0907592013
  0.0931324199    0.0955787286    0.0981076226    0.1007309034    0.1013834313
